,citing_int_id,cited_int_id,intent_labels,section_name,citance,context,citing_ss_id,citing_title,citing_year,citing_authors,cited_ss_id,cited_title,cited_year,cited_authors
0,W06-2933,External_18690,[0],experiments,"Typical examples are Bulgarian <TARGET_CITATION/> , Chinese <CITATION/> , Danish <CITATION/> , and Swedish <CITATION/> .","before we turn to Swedish and Turkish, focusing on recall and precision of root nodes, as a reflection of global syntactic structure, and on attachment score as a function of arc length. If we start by considering languages with a labeled attachment score of 85% or higher, they are characterized by high precision and recall for root nodes, typically 95/90, and by a graceful degradation of attachment score as arcs grow longer, typically 959085, for arcs of length 1, 2 and 36. Typical examples are Bulgarian <TARGET_CITATION/> , Chinese <CITATION/> , Danish <CITATION/> , and Swedish <CITATION/> . Typical examples are Bulgarian <CITATION/>, Chinese <CITATION/>, Danish <CITATION/>, and Swedish <CITATION/>. If we start by considering languages with a labeled attachment score of 85% or higher, they are characterized by high precision and recall for root nodes, typically 95/90, and by a graceful degradation of attachment score as arcs grow longer, typically 959085, for arcs of length 1, 2 and 36. before we turn to Swedish and Turkish, focusing on recall and precision of root nodes, as a reflection of global syntactic structure, and on attachment score as a function of arc length.",f3719ad02a3164e87e5ef0b1de215354e4c9de92,Labeled Pseudo-Projective Dependency Parsing with Support Vector Machines,2006,Joakim Nivre; Johan Hall; Jens Nilsson; Gülşen Eryiğit; Svetoslav Marinov,7686796dae48a1d59f8c806ea4cab45eba99d2fe,Practical Annotation Scheme for an HPSG Treebank of Bulgarian,2003,K. Simov; P. Osenova
2,N04-2004,External_29663,[0],,"These observations and this line of reasoning has not escaped the attention of theoretical linguists : <TARGET_CITATION/> propose that argument structure is , in fact , encoded syntactically .","Sometimes, these functional elements are overtly realized, e.g., en. Often, however, these functional elements responsible for licensing event interpretations are not phonologically realized. These observations and this line of reasoning has not escaped the attention of theoretical linguists : <TARGET_CITATION/> propose that argument structure is , in fact , encoded syntactically . These observations and this line of reasoning has not escaped the attention of theoretical linguists: <CITATION/> propose that argument structure is, in fact, encoded syntactically. Often, however, these functional elements responsible for licensing event interpretations are not phonologically realized. Sometimes, these functional elements are overtly realized, e.g., en.",1f921759e67ad6e6e85cf4d70028d4ff85de029b,A Computational Framework for Non-Lexicalist Semantics,2004,Jimmy J. Lin,244b8a2de2ff31039585ae8dbcf4b1ce29ed9460,On Argument Structure and the Lexical Expression of Syntactic Relations,1993,K. Hale; S. J. Keyser
3,W06-1639,External_17783,[0],related work,interdocument references in the form of hyperlinks <TARGET_CITATION/> .,"Relationships between the unlabeled items <CITATION/> consider sequential relations between different types of emails (e.g., between requests and satisfactions thereof) to classify messages, and thus also explicitly exploit the structure of conversations. Previous sentimentanalysis work in different domains has considered interdocument similarity <CITATION/> or explicit interdocument references in the form of hyperlinks <TARGET_CITATION/> . interdocument references in the form of hyperlinks <CITATION/>. Previous sentimentanalysis work in different domains has considered interdocument similarity <CITATION/> or explicitRelationships between the unlabeled items <CITATION/> consider sequential relations between different types of emails (e.g., between requests and satisfactions thereof) to classify messages, and thus also explicitly exploit the structure of conversations.",dc832b298290e316d1218266f6f33de97c9b5679,Get out the vote: Determining support or opposition from Congressional floor-debate transcripts,2006,Matt Thomas; B. Pang; Lillian Lee,22291dcd8b5255b6d0d51a86138ee5bf57b34550,Mining newsgroups using networks arising from social behavior,2003,R. Agrawal; S. Rajagopalan; R. Srikant; Yirong Xu
4,J06-2002,External_3883,[0],experiments,"While IA is generally thought to be consistent with findings on human language production <TARGET_CITATION/> , the hypothesis that incrementality is a good model of human GRE seems unfalsifiable until a preference order is specified for the properties on which it operates ."," While IA is generally thought to be consistent with findings on human language production <TARGET_CITATION/> , the hypothesis that incrementality is a good model of human GRE seems unfalsifiable until a preference order is specified for the properties on which it operates . While IA is generally thought to be consistent with findings on human language production <CITATION/>, the hypothesis that incrementality is a good model of human GRE seems unfalsifiable until a preference order is specified for the properties on which it operates.",0cd20231bd846ac75f25446e0a2bf02aa3d30717,Generating Referring Expressions that Involve Gradable Properties,2006,Kees van Deemter,881a30a7c9e39da5b0f2079e4a7b0eedcc5f63c1,Psychologie der Objektbenennung,1976,T. Herrmann; W. Deutsch
6,D08-1066,P08-1024,[5],conclusion,"Secondly , as <TARGET_CITATION/> show , marginalizing out the different segmentations during decoding leads to improved performance .","There are various strands of future research. Firstly, we plan to explore our estimator on other language pairs in order to obtain more evidence on its behavior. Secondly , as <TARGET_CITATION/> show , marginalizing out the different segmentations during decoding leads to improved performance . Secondly, as <CITATION/> show, marginalizing out the different segmentations during decoding leads to improved performance. Firstly, we plan to explore our estimator on other language pairs in order to obtain more evidence on its behavior. There are various strands of future research.",3701075b318ea45284c9805f2486f3a3177ec87f,Phrase Translation Probabilities with ITG Priors and Smoothing as Learning Objective,2008,M. Mylonakis; K. Sima'an,02bcc68113cff36226eb9d977f7367f14e2157e5,A Discriminative Latent Variable Model for Statistical Machine Translation,2008,Phil Blunsom; Trevor Cohn; M. Osborne
8,W04-1610,External_9370,[0],related work,"More recently , <CITATION/> has performed a good survey of document categorization ; recent works can also be found in <TARGET_CITATION/> .","For example, <CITATION/> discusses the evaluation of two different text categorization strategies with several variations of their feature spaces. A good study comparing document categorization algorithms can be found in <CITATION/>. More recently , <CITATION/> has performed a good survey of document categorization ; recent works can also be found in <TARGET_CITATION/> . More recently, <CITATION/> has performed a good survey of document categorization; recent works can also be found in <CITATION/>. A good study comparing document categorization algorithms can be found in <CITATION/>. For example, <CITATION/> discusses the evaluation of two different text categorization strategies with several variations of their feature spaces.",63774ca26b22750390b83480b96d56f8acf34550,Automatic Arabic Document Categorization Based on the Naïve Bayes Algorithm,2004,Mohamed El Kourdi; A. Bensaid; T. Rachidi,,learning to classify text using svm,2002,T Joachims
9,W01-1510,External_15846,[0],,The grammar conversion from LTAG to HPSG <TARGET_CITATION/> is the core portion of the RenTAL system ., The grammar conversion from LTAG to HPSG <TARGET_CITATION/> is the core portion of the RenTAL system . The grammar conversion from LTAG to HPSG <CITATION/> is the core portion of the RenTAL system.,9acc772280c3edeaf9057efaa689f33f211ed78e,Resource Sharing Amongst HPSG and LTAG Communities by a Method of Grammar Conversion between FB-LTAG and HPSG,2001,Naoki Yoshinaga; Yusuke Miyao; Kentaro Torisawa; Junichi Tsujii,,grammar conversion from fbltag to hpsg,2001,Naoki Yoshinaga; Yusuke Miyao
10,D11-1138,D07-1003,[0],introduction,"This includes work on question answering <TARGET_CITATION/> , sentiment analysis <CITATION/> , MT reordering <CITATION/> , and many other tasks .","The accuracy and speed of stateoftheart dependency parsers has motivated a resumed interest in utilizing the output of parsing as an input to many downstream natural language processing tasks. This includes work on question answering <TARGET_CITATION/> , sentiment analysis <CITATION/> , MT reordering <CITATION/> , and many other tasks . This includes work on question answering <CITATION/>, sentiment analysis <CITATION/>, MT reordering <CITATION/>, and many other tasks. The accuracy and speed of stateoftheart dependency parsers has motivated a resumed interest in utilizing the output of parsing as an input to many downstream natural language processing tasks.",2db7160ade8868b4613448f55682fcee28b160d2,Training dependency parsers by jointly optimizing multiple objectives,2011,Keith B. Hall; Ryan T. McDonald; Jason Katz-Brown; Michael Ringgaard,5ab6ddd1d45302bf635cce5cb93fbaf4ea79458a,What is the Jeopardy Model? A Quasi-Synchronous Grammar for QA,2007,Mengqiu Wang; Noah A. Smith; T. Mitamura
12,D08-1007,J03-3005,[4],experiments,"We study the cases where a 9Recall that even the <TARGET_CITATION/> system , built on the world 's largest corpus , achieves only 34 % recall ( Table 1 ) ( with only 48 % of positives and 27 % of all pairs previously observed , but see Footnote 5 ) .","Finally, we evaluate DSP on a common application of selectional preferences: choosing the correct antecedent for pronouns in text <CITATION/>. We study the cases where a 9Recall that even the <TARGET_CITATION/> system , built on the world 's largest corpus , achieves only 34 % recall ( Table 1 ) ( with only 48 % of positives and 27 % of all pairs previously observed , but see Footnote 5 ) . We study the cases where a 9Recall that even the <CITATION/> system, built on the world's largest corpus, achieves only 34% recall (Table 1) (with only 48% of positives and 27% of all pairs previously observed, but see Footnote 5). Finally, we evaluate DSP on a common application of selectional preferences: choosing the correct antecedent for pronouns in text <CITATION/>.",94ad3c0d561f29f0c4989b5b6a2e6c7f1570ef05,Discriminative Learning of Selectional Preference from Unlabeled Text,2008,S. Bergsma; Dekang Lin; R. Goebel,5dfed29550d75cca99019aa52d40038dcb23b3cb,Using the Web to Obtain Frequencies for Unseen Bigrams,2003,Frank Keller; Mirella Lapata
13,Q13-1020,D09-1037,[1],method,"Inspired by <TARGET_CITATION/> , we define P ( str  frag ) as follows : where csw is the number of words in the source string .","c. Determine that the right child of PRP...RB is a twoword nonterminal; d. Utilize the predetermined RB and a POS tag VBP to form the tag of the twoword nonterminal: VBP+RB; e. Expand VBP+RB (to VBP and RB); f. Do not expand VBP and RB.generating the source string, which contains several source words and variables. Inspired by <TARGET_CITATION/> , we define P ( str  frag ) as follows : where csw is the number of words in the source string . Inspired by <CITATION/>, we define P(str  frag) as follows: where csw is the number of words in the source string. generating the source string, which contains several source words and variables. c. Determine that the right child of PRP...RB is a twoword nonterminal; d. Utilize the predetermined RB and a POS tag VBP to form the tag of the twoword nonterminal: VBP+RB; e. Expand VBP+RB (to VBP and RB); f. Do not expand VBP and RB.",aaf0174070ddb003bdb4a6452ef9ffd4a05467b8,Unsupervised Tree Induction for Tree-based Translation,2013,Feifei Zhai; Jiajun Zhang; Yu Zhou; Chengqing Zong,dc605e05765f4948328525d1c60aeca58970afe1,A Bayesian Model of Syntax-Directed Tree to String Grammar Induction,2009,Trevor Cohn; Phil Blunsom
