token_context,word_context,seg_context,sent_cotext,label
"['Thanks are due to one of the anonymous reviewers for pointing out that our wEBMT system , seeded with input from multiple translation systems , with a postvalidation process via the Web ( amounting to an n-gram target language model ) , in effect forms a multiengine MT system as described by #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG']","['Thanks are due to one of the anonymous reviewers for pointing out that our wEBMT system , seeded with input from multiple translation systems , with a postvalidation process via the Web ( amounting to an n-gram target language model ) , in effect forms a multiengine MT system as described by #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG']","['are due to one of the anonymous reviewers for pointing out that our wEBMT system , seeded with input from multiple translation systems , with a postvalidation process via the Web ( amounting to an n-gram target language model ) , in effect forms a multiengine MT system as described by #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG']","['translations gave rise to a number of automatically constructed linguistic resources : ( 1 ) the original ( source , target ) phrasal translation pairs , ( 2 ) the marker lexicon , ( 3 ) the gen11 Thanks are due to one of the anonymous reviewers for pointing out that our wEBMT system , seeded with input from multiple translation systems , with a postvalidation process via the Web ( amounting to an n-gram target language model ) , in effect forms a multiengine MT system as described by #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG']",1
"['', ' #TAUTHOR_TAG attempt to translate technical terms using word relation matrices , although the resource from which such relations are derived is a pair of nonparallel corpora .', '']","['', ' #TAUTHOR_TAG attempt to translate technical terms using word relation matrices , although the resource from which such relations are derived is a pair of nonparallel corpora .', '']","['', ' #TAUTHOR_TAG attempt to translate technical terms using word relation matrices , although the resource from which such relations are derived is a pair of nonparallel corpora .', '']","['', 'Kay and Röscheisen (1993) attempt to extract a bilingual dictionary using a hybrid method of sentence and word alignment on the assumption that the source, target words have a similar distribution.', ' #TAUTHOR_TAG attempt to translate technical terms using word relation matrices , although the resource from which such relations are derived is a pair of nonparallel corpora .', ' #AUTHOR_TAG replicates the work of Fung and McKeown with different language pairs using the simpler metric of Levenshtein distance.', '']",0
['\x80¢ Learnability #TAUTHOR_TAG â\x80¢ Text generation ( Hovy 1988 ;'],['\x80¢ Learnability #TAUTHOR_TAG â\x80¢ Text generation ( Hovy 1988 ;'],['\x80¢ Learnability #TAUTHOR_TAG â\x80¢ Text generation ( Hovy 1988 ;'],"['\x80¢ Learnability #TAUTHOR_TAG â\x80¢ Text generation ( Hovy 1988 ; Milosavljevic , Tulloch , and Dale 1996 ) â\x80¢ Speech generation ( Rayner and Carter 1997 ) â\x80¢ Localization ( Sch Â¨ aler 1996']",0
"['', 'Other similar approaches include those of Cicekli and G Â¨ uvenir ( 1996 ) , #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG , inter alia']","['', 'Other similar approaches include those of Cicekli and G Â¨ uvenir ( 1996 ) , #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG , inter alia']","['', 'Other similar approaches include those of Cicekli and G Â¨ uvenir ( 1996 ) , #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG , inter alia']","['', 'Other similar approaches include those of Cicekli and G Â¨ uvenir ( 1996 ) , #TAUTHOR_TAG , #AUTHOR_TAG , and #AUTHOR_TAG , inter alia']",0
"['\x80¢ Learnability ( Zernik and Dyer 1987 ) â\x80¢ Text generation #TAUTHOR_TAG ; Milosavljevic , Tulloch , and Dale 1996 ) â']","['\x80¢ Learnability ( Zernik and Dyer 1987 ) â\x80¢ Text generation #TAUTHOR_TAG ; Milosavljevic , Tulloch , and Dale 1996 ) â\x80¢ Speech generation']","['\x80¢ Learnability ( Zernik and Dyer 1987 ) â\x80¢ Text generation #TAUTHOR_TAG ; Milosavljevic , Tulloch , and Dale 1996 ) â']","['\x80¢ Learnability ( Zernik and Dyer 1987 ) â\x80¢ Text generation #TAUTHOR_TAG ; Milosavljevic , Tulloch , and Dale 1996 ) â\x80¢ Speech generation ( Rayner and Carter 1997 ) â\x80¢ Localization ( Sch Â¨ aler 1996']",0
"['we multiply the weights of each chunk used in its construction.', 'Note that this ensures that greater importance is attributed to longer chunks , as is usual in most EBMT systems ( cfXXX #TAUTHOR_TAG ; Veale and Way 1997 ; Carl 1999 ) .']","['we multiply the weights of each chunk used in its construction.', 'Note that this ensures that greater importance is attributed to longer chunks , as is usual in most EBMT systems ( cfXXX #TAUTHOR_TAG ; Veale and Way 1997 ; Carl 1999 ) .']","['we multiply the weights of each chunk used in its construction.', 'Note that this ensures that greater importance is attributed to longer chunks , as is usual in most EBMT systems ( cfXXX #TAUTHOR_TAG ; Veale and Way 1997 ; Carl 1999 ) .']","['translated phrases have been retrieved for each chunk of the input string, they must then be combined to produce an output string.', 'In order to calculate a ranking for each TL sentence produced, we multiply the weights of each chunk used in its construction.', 'Note that this ensures that greater importance is attributed to longer chunks , as is usual in most EBMT systems ( cfXXX #TAUTHOR_TAG ; Veale and Way 1997 ; Carl 1999 ) .']",0
"['', 'From this description , it should be clear that TM systems do not translate : Indeed , some researchers consider them to be little more than a search-and-replace engine , albeit a rather sophisticated one #TAUTHOR_TAG']","['', 'From this description , it should be clear that TM systems do not translate : Indeed , some researchers consider them to be little more than a search-and-replace engine , albeit a rather sophisticated one #TAUTHOR_TAG']","['', 'From this description , it should be clear that TM systems do not translate : Indeed , some researchers consider them to be little more than a search-and-replace engine , albeit a rather sophisticated one #TAUTHOR_TAG']","['', 'From this description , it should be clear that TM systems do not translate : Indeed , some researchers consider them to be little more than a search-and-replace engine , albeit a rather sophisticated one #TAUTHOR_TAG']",0
"['', ' #AUTHOR_TAG replicates the work of Fung and McKeown with different language pairs using the simpler metric of Levenshtein distance.', ' #TAUTHOR_TAG use a tagged parallel corpus to extract translationally equivalent English-Greek clauses on the basis of word occurrence and co-occurrence probabilities .', '']","['', ' #AUTHOR_TAG replicates the work of Fung and McKeown with different language pairs using the simpler metric of Levenshtein distance.', ' #TAUTHOR_TAG use a tagged parallel corpus to extract translationally equivalent English-Greek clauses on the basis of word occurrence and co-occurrence probabilities .', '']","['', ' #AUTHOR_TAG replicates the work of Fung and McKeown with different language pairs using the simpler metric of Levenshtein distance.', ' #TAUTHOR_TAG use a tagged parallel corpus to extract translationally equivalent English-Greek clauses on the basis of word occurrence and co-occurrence probabilities .', '']","['', ' #AUTHOR_TAG replicates the work of Fung and McKeown with different language pairs using the simpler metric of Levenshtein distance.', ' #TAUTHOR_TAG use a tagged parallel corpus to extract translationally equivalent English-Greek clauses on the basis of word occurrence and co-occurrence probabilities .', '']",0
"['\x80¢ insights into universal grammar ( Juola 1998 ) â\x80¢ machine translation ( Juola 1994 , 1997 ; #TAUTHOR_TAG ; Gough , Way , and Hearne 2002']","['monolingual grammar induction ( Juola 1998 ) â\x80¢ grammar optimization ( Juola 1994 ) â\x80¢ insights into universal grammar ( Juola 1998 ) â\x80¢ machine translation ( Juola 1994 , 1997 ; #TAUTHOR_TAG ; Gough , Way , and Hearne 2002']","['\x80¢ insights into universal grammar ( Juola 1998 ) â\x80¢ machine translation ( Juola 1994 , 1997 ; #TAUTHOR_TAG ; Gough , Way , and Hearne 2002']","['\x80¢ language learning ( Green 1979 ; Mori and Moeser 1983 ; Morgan , Meier , and Newport 1989 ) â\x80¢ monolingual grammar induction ( Juola 1998 ) â\x80¢ grammar optimization ( Juola 1994 ) â\x80¢ insights into universal grammar ( Juola 1998 ) â\x80¢ machine translation ( Juola 1994 , 1997 ; #TAUTHOR_TAG ; Gough , Way , and Hearne 2002']",0
"['\x80¢ language learning #TAUTHOR_TAG ; Mori and Moeser 1983 ; Morgan , Meier , and Newport 1989 )']","['\x80¢ language learning #TAUTHOR_TAG ; Mori and Moeser 1983 ; Morgan , Meier , and Newport 1989 ) â\x80¢ monolingual grammar induction ( Juola 1998 ) â\x80¢ grammar optimization ( Juola 1994 )']","['\x80¢ language learning #TAUTHOR_TAG ; Mori and Moeser 1983 ; Morgan , Meier , and Newport 1989 )']","['\x80¢ language learning #TAUTHOR_TAG ; Mori and Moeser 1983 ; Morgan , Meier , and Newport 1989 ) â\x80¢ monolingual grammar induction ( Juola 1998 ) â\x80¢ grammar optimization ( Juola 1994 ) â\x80¢ insights into universal grammar ( Juola 1998 ) â\x80¢ machine translation ( Juola 1994 , 1997 ; Veale and Way 1997 ; Gough , Way , and Hearne 2002']",0
