CC,label
"LFS (Iordanskaja et al., 1992) , and JOYCE (Rambow and Korelsky, 1992) . The framework was originally developed for the realization of deep-syntactic structures in NLG ( #AUTHOR_TAG )  .</s>",0
"Figure 2 illustrates a DSyntS from a meteorological application , MeteoCogent ( Kittredge and Lavoie , 1998 )  , represented using the standard graphical notation and also the RealPro ASCII notation used internally in the framework ( #AUTHOR_TAG )  .</s>",2
"<s> --o II a failli pleuvoir. More details on how the structural divergences described in ( #AUTHOR_TAG )  can be accounted for using our formalism can be found in ( Nasr et al. , 1998 )  .</s>",0
"Our work extends directions taken in systems such as Ariane ( Vauquois and Boitet , 1985 )  , FoG ( Kittredge and Polguere , 1991 )  , JOYCE ( Rambow and #AUTHOR_TAG )  , and LFS ( Iordanskaja et al. , 1992 )  . Although it adopts the general principles",2
"The framework represents a generalization of several predecessor NLG systems based on Meaning-Text Theory : FoG ( Kittredge and Polguere , 1991 )  , LFS ( Iordanskaja et al. , 1992 )  , and JOYCE ( Rambow and #AUTHOR_TAG )  . The framework was originally developed for the realization of deep-syntactic structures in NLG .</s>",2
". However, knowledge of sentence boundaries is required by many NLP technologies. Part of speech taggers typically require input in the format of a single sentence per line ( for example Brill 's tagger ( #AUTHOR_TAG )  ) and parsers generally aim to produce a tree spanning each sentence .</s>",0
"we resolved coreference by using SWIZZLE,our implementation of a bilingual coreference resolver. SWIZZLE is a multilingual enhancement of COCKTAIL ( #AUTHOR_TAG )  , a coreference resolution system that operates on a mixture of heuristics that combine semantic and textual cohesive information  . When",2
"and discourse knowledge. The acquisition of such knowledge is time-consuming, difficult, and error-prone. Nevertheless , recent results show that knowledge-poor methods perform with amazing accuracy ( cfXXX ( #AUTHOR_TAG )  , ( Kennedy and Boguraev , 1996 )  ( Kameyama , 1997 )  ) . For example, CogNIAC (Baldwin, 1997) , a system based on seven ordered heuristics, generates high-precision resolution (over ",0
Details of the top performing heuristics of COCKTAIL were reported in ( #AUTHOR_TAG )  .,0
"For this research , we used a coreference resolution system ( ( #AUTHOR_TAG )  ) that implements different sets of heuristics corresponding to various forms of coreference . This system, called COCKTAIL, resolves coreference by exploiting several textual cohesion constraints (e.g",5
"the abbreviation component will specialize in identifying abbreviations, etc. Each component will return a confidence measure of the reliability of its prediction , c.f. ( #AUTHOR_TAG )  . The results from each component are evaluated to determine the final category of the word.",4
We use an in-house statistical tagger ( based on ( #AUTHOR_TAG )  ) to tag the text in which the,5
"Research that is more similar in goal to that outlined in this paper is Vosse ( #AUTHOR_TAG )  . Vosse uses a simple algorithm to identify three classes of unknown words: misspellings, neologisms, and names. Capitalization is his sole means of identifying names. However, capitalization information is not",1
"Corpus frequency : ( #AUTHOR_TAG )  differentiates between misspellings and neologisms ( new words ) in terms of their frequency . His algorithm classifies unknown words that appear infrequently as misspellings, and those that appear more frequently as neologisms. Our corpus frequency variable spec",5
"predict problematic situations. Our work builds on earlier research on learning to identify dialogues in which the user experienced poor speech recognizer performance ( #AUTHOR_TAG )  . However, that work was based on a much smaller set of experimental dialogues where the notion of a good or bad dialogue was automatically approximated rather than being labelled by humans. In addition, because that work was based on features",2
"-reprompts, percentconfirms, percent-subdials). The use of running tallies and percentages is based on the assumption that these features are likely to produce generalized predictors ( #AUTHOR_TAG )  .</s>",4
"normalizer. We use the same set of binary features as in previous work on this dataset ( #AUTHOR_TAG ; Pang and Lee , 2004 ; Zaidan et al. , 2007 )  . Specifically, let V = {v 1 , ...",5
"In future work we plan to experiment with richer representations , e.g. including long-range n-grams ( Rosenfeld , 1996 )  , class n-grams ( #AUTHOR_TAG )  , grammatical features ( Amaya and Benedy , 2001 )  , etc ' .",3
