token_context,word_context,seg_context,sent_cotext,label
"['framework represents a generalization of several predecessor NLG systems based on Meaning-Text Theory: FoG (Kittredge and Polgu~re, 1991), LFS(Iordanskaja et al., 1992) , and JOYCE(Rambow and Korelsky, 1992) .', 'The framework was originally developed for the realization of deep-syntactic structures in NLG( #AUTHOR_TAG )']","['framework represents a generalization of several predecessor NLG systems based on Meaning-Text Theory: FoG (Kittredge and Polgu~re, 1991), LFS(Iordanskaja et al., 1992) , and JOYCE(Rambow and Korelsky, 1992) .', 'The framework was originally developed for the realization of deep-syntactic structures in NLG( #AUTHOR_TAG )']","['framework represents a generalization of several predecessor NLG systems based on Meaning-Text Theory: FoG (Kittredge and Polgu~re, 1991), LFS(Iordanskaja et al., 1992) , and JOYCE(Rambow and Korelsky, 1992) .', 'The framework was originally developed for the realization of deep-syntactic structures in NLG( #AUTHOR_TAG )']","['framework represents a generalization of several predecessor NLG systems based on Meaning-Text Theory: FoG (Kittredge and Polgu~re, 1991), LFS(Iordanskaja et al., 1992) , and JOYCE(Rambow and Korelsky, 1992) .', 'The framework was originally developed for the realization of deep-syntactic structures in NLG( #AUTHOR_TAG )']",0
"['', 'Figure 2 illustrates a DSyntS from a meteorological application , MeteoCogent( Kittredge and Lavoie , 1998 ) , represented using the standard graphical notation and also the RealPro ASCII notation used internally in the framework( #AUTHOR_TAG )']","['', 'Figure 2 illustrates a DSyntS from a meteorological application , MeteoCogent( Kittredge and Lavoie , 1998 ) , represented using the standard graphical notation and also the RealPro ASCII notation used internally in the framework( #AUTHOR_TAG )']","['', 'Figure 2 illustrates a DSyntS from a meteorological application , MeteoCogent( Kittredge and Lavoie , 1998 ) , represented using the standard graphical notation and also the RealPro ASCII notation used internally in the framework( #AUTHOR_TAG )']","['', 'Figure 2 illustrates a DSyntS from a meteorological application , MeteoCogent( Kittredge and Lavoie , 1998 ) , represented using the standard graphical notation and also the RealPro ASCII notation used internally in the framework( #AUTHOR_TAG )']",2
"['o II a failli pleuvoir.', 'More details on how the structural divergences described in( #AUTHOR_TAG ) can be accounted for using our formalism can be found in( Nasr et al. , 1998 )']","['o II a failli pleuvoir.', 'More details on how the structural divergences described in( #AUTHOR_TAG ) can be accounted for using our formalism can be found in( Nasr et al. , 1998 )']","['o II a failli pleuvoir.', 'More details on how the structural divergences described in( #AUTHOR_TAG ) can be accounted for using our formalism can be found in( Nasr et al. , 1998 )']","['o II a failli pleuvoir.', 'More details on how the structural divergences described in( #AUTHOR_TAG ) can be accounted for using our formalism can be found in( Nasr et al. , 1998 )']",0
"['', 'Our work extends directions taken in systems such as Ariane( Vauquois and Boitet , 1985 ) , FoG( Kittredge and Polguere , 1991 ) , JOYCE ( Rambow and#AUTHOR_TAG ) , and LFS( Iordanskaja et al. , 1992 ) .', 'Although it adopts the general']","['', 'Our work extends directions taken in systems such as Ariane( Vauquois and Boitet , 1985 ) , FoG( Kittredge and Polguere , 1991 ) , JOYCE ( Rambow and#AUTHOR_TAG ) , and LFS( Iordanskaja et al. , 1992 ) .', 'Although it adopts the general']","['', 'Our work extends directions taken in systems such as Ariane( Vauquois and Boitet , 1985 ) , FoG( Kittredge and Polguere , 1991 ) , JOYCE ( Rambow and#AUTHOR_TAG ) , and LFS( Iordanskaja et al. , 1992 ) .', 'Although it adopts the general principles']","['', 'Our work extends directions taken in systems such as Ariane( Vauquois and Boitet , 1985 ) , FoG( Kittredge and Polguere , 1991 ) , JOYCE ( Rambow and#AUTHOR_TAG ) , and LFS( Iordanskaja et al. , 1992 ) .', '']",2
"['framework represents a generalization of several predecessor NLG systems based on Meaning-Text Theory : FoG( Kittredge and Polguere , 1991 ) , LFS( Iordanskaja et al. , 1992 ) , and JOYCE ( Rambow and#AUTHOR_TAG ) .', 'The framework was originally developed for the realization of deep-syntactic structures in NLG']","['framework represents a generalization of several predecessor NLG systems based on Meaning-Text Theory : FoG( Kittredge and Polguere , 1991 ) , LFS( Iordanskaja et al. , 1992 ) , and JOYCE ( Rambow and#AUTHOR_TAG ) .', 'The framework was originally developed for the realization of deep-syntactic structures in NLG']","['framework represents a generalization of several predecessor NLG systems based on Meaning-Text Theory : FoG( Kittredge and Polguere , 1991 ) , LFS( Iordanskaja et al. , 1992 ) , and JOYCE ( Rambow and#AUTHOR_TAG ) .', 'The framework was originally developed for the realization of deep-syntactic structures in NLG']","['framework represents a generalization of several predecessor NLG systems based on Meaning-Text Theory : FoG( Kittredge and Polguere , 1991 ) , LFS( Iordanskaja et al. , 1992 ) , and JOYCE ( Rambow and#AUTHOR_TAG ) .', 'The framework was originally developed for the realization of deep-syntactic structures in NLG']",2
"[""of speech taggers typically require input in the format of a single sentence per line ( for example Brill 's tagger( #AUTHOR_TAG ) ) and parsers generally aim to produce a tree spanning each sentence""]","[""of speech taggers typically require input in the format of a single sentence per line ( for example Brill 's tagger( #AUTHOR_TAG ) ) and parsers generally aim to produce a tree spanning each sentence""]","[""of speech taggers typically require input in the format of a single sentence per line ( for example Brill 's tagger( #AUTHOR_TAG ) ) and parsers generally aim to produce a tree spanning each sentence""]","['', ""Part of speech taggers typically require input in the format of a single sentence per line ( for example Brill 's tagger( #AUTHOR_TAG ) ) and parsers generally aim to produce a tree spanning each sentence""]",0
"['is a multilingual enhancement of COCKTAIL( #AUTHOR_TAG ) , a coreference resolution system that operates on a mixture of heuristics that combine semantic and textual cohesive information .', '']","['is a multilingual enhancement of COCKTAIL( #AUTHOR_TAG ) , a coreference resolution system that operates on a mixture of heuristics that combine semantic and textual cohesive information .', '']","['is a multilingual enhancement of COCKTAIL( #AUTHOR_TAG ) , a coreference resolution system that operates on a mixture of heuristics that combine semantic and textual cohesive information .', '']","['both languages, we resolved coreference by using SWIZZLE,our implementation of a bilingual coreference resolver.', 'SWIZZLE is a multilingual enhancement of COCKTAIL( #AUTHOR_TAG ) , a coreference resolution system that operates on a mixture of heuristics that combine semantic and textual cohesive information .', 'When COCKTAIL was applied separately on the English and the Ro- manian texts, coreferring links were identified for each English and Romanian document respectively.', 'When aligned referential expressions corefer with non-aligned anaphors, SWIZZLE derived new heuris- tics for coreference.', '']",2
"['', 'The acquisition of such knowledge is time-consuming, difficult, and error-prone.', 'Nevertheless , recent results show that knowledge-poor methods perform with amazing accuracy ( cfXXX( #AUTHOR_TAG ) ,( Kennedy and Boguraev , 1996 )( Kameyama , 1997 ) ) .', '']","['', 'The acquisition of such knowledge is time-consuming, difficult, and error-prone.', 'Nevertheless , recent results show that knowledge-poor methods perform with amazing accuracy ( cfXXX( #AUTHOR_TAG ) ,( Kennedy and Boguraev , 1996 )( Kameyama , 1997 ) ) .', '']","['', 'The acquisition of such knowledge is time-consuming, difficult, and error-prone.', 'Nevertheless , recent results show that knowledge-poor methods perform with amazing accuracy ( cfXXX( #AUTHOR_TAG ) ,( Kennedy and Boguraev , 1996 )( Kameyama , 1997 ) ) .', '']","['', 'The acquisition of such knowledge is time-consuming, difficult, and error-prone.', 'Nevertheless , recent results show that knowledge-poor methods perform with amazing accuracy ( cfXXX( #AUTHOR_TAG ) ,( Kennedy and Boguraev , 1996 )( Kameyama , 1997 ) ) .', '']",0
"['. is-part re- lations) and hypernyms (e.g. is-a relations).', 'Consistency checks implemented for this class of coref- erence are conservative: either the adjuncts must be identical or the adjunct of the referent must be less specific than the antecedent.', 'Table 1 lists the top performing heuristics of COCKTAILfor pronominal and nominal coreference.', 'Examples of the heuristics operation on the MUC data are presented presented in Table 2.', 'Details of the top performing heuristics of COCKTAIL were reported in( #AUTHOR_TAG )']","['is-part re- lations) and hypernyms (e.g. is-a relations).', 'Consistency checks implemented for this class of coref- erence are conservative: either the adjuncts must be identical or the adjunct of the referent must be less specific than the antecedent.', 'Table 1 lists the top performing heuristics of COCKTAILfor pronominal and nominal coreference.', 'Examples of the heuristics operation on the MUC data are presented presented in Table 2.', 'Details of the top performing heuristics of COCKTAIL were reported in( #AUTHOR_TAG )']","['. is-part re- lations) and hypernyms (e.g. is-a relations).', 'Consistency checks implemented for this class of coref- erence are conservative: either the adjuncts must be identical or the adjunct of the referent must be less specific than the antecedent.', 'Table 1 lists the top performing heuristics of COCKTAILfor pronominal and nominal coreference.', 'Examples of the heuristics operation on the MUC data are presented presented in Table 2.', 'Details of the top performing heuristics of COCKTAIL were reported in( #AUTHOR_TAG )']","['third class of heuristics resolves coreference by coercing nominals.', 'Sometimes coercions involve only derivational morphology - linking verbs with their nominalizations.', 'On other occasions, coercions are obtained as paths of meronyms (e.g. is-part re- lations) and hypernyms (e.g. is-a relations).', 'Consistency checks implemented for this class of coref- erence are conservative: either the adjuncts must be identical or the adjunct of the referent must be less specific than the antecedent.', 'Table 1 lists the top performing heuristics of COCKTAILfor pronominal and nominal coreference.', 'Examples of the heuristics operation on the MUC data are presented presented in Table 2.', 'Details of the top performing heuristics of COCKTAIL were reported in( #AUTHOR_TAG )']",0
"['', 'For this research , we used a coreference resolution system (( #AUTHOR_TAG ) ) that implements different sets of heuristics corresponding to various forms of coreference .', '']","['', 'For this research , we used a coreference resolution system (( #AUTHOR_TAG ) ) that implements different sets of heuristics corresponding to various forms of coreference .', '']","['', 'For this research , we used a coreference resolution system (( #AUTHOR_TAG ) ) that implements different sets of heuristics corresponding to various forms of coreference .', '']","['', 'Nevertheless, recent results show that knowledge-poor methods perform with amazing accuracy (cf.', '(Mitkov, 1998) ,(Kennedy and Boguraev, 1996)(Kameyama, 1997) ).', 'For example, CogNIAC(Baldwin, 1997) , a system based on seven ordered heuristics, generates high-precision resolution (over 90%) for some cases of pronominal reference.', 'For this research , we used a coreference resolution system (( #AUTHOR_TAG ) ) that implements different sets of heuristics corresponding to various forms of coreference .', '']",5
