token_context,word_context,seg_context,sent_cotext,label
"['with integrated language models (Huang and Chiang, 2007).', 'the first direct application of parse forest in translation is our previous work ( #AUTHOR_TAG ) which translates a packed forest from a parser ; it is also the base system in our experiments ( see below ).', 'this work, on the other hand, is in the orthogonal direction, where we utilize forests in rule extraction instead of']","['with integrated language models (Huang and Chiang, 2007).', 'the first direct application of parse forest in translation is our previous work ( #AUTHOR_TAG ) which translates a packed forest from a parser ; it is also the base system in our experiments ( see below ).', 'this work, on the other hand, is in the orthogonal direction, where we utilize forests in rule extraction instead of decoding']","['with integrated language models (Huang and Chiang, 2007).', 'the first direct application of parse forest in translation is our previous work ( #AUTHOR_TAG ) which translates a packed forest from a parser ; it is also the base system in our experiments ( see below ).', 'this work, on the other hand, is in the orthogonal direction, where we utilize forests in rule extraction instead of']","['forest concept is also used in machine translation decoding, for example to characterize the search space of decoding with integrated language models (Huang and Chiang, 2007).', 'the first direct application of parse forest in translation is our previous work ( #AUTHOR_TAG ) which translates a packed forest from a parser ; it is also the base system in our experiments ( see below ).', 'this work, on the other hand, is in the orthogonal direction, where we utilize forests in rule extraction instead of decoding']",2
"['##an and harabagiu 2004 ), information extraction ( #AUTHOR_TAG ), and machine translation (']","['answering ( narayanan and harabagiu 2004 ), information extraction ( #AUTHOR_TAG ), and machine translation ( boas 2002 ).', 'with the efforts of many']","['##an and harabagiu 2004 ), information extraction ( #AUTHOR_TAG ), and machine translation (']","['role labeling ( srl ) was first defined in Gildea and Jurafsky (2002).', 'the purpose of srl task is to identify and classify the semantic roles of each predicate in a sentence.', 'the semantic roles are marked and each of them is assigned a tag which indicates the type of the semantic relation with the related predicate.', 'typical tags include agent, patient, source, etc. and some adjuncts such as temporal, manner, extent, etc.', 'since the arguments can provide useful semantic information, the srl is crucial to many natural language processing tasks, such as question and answering ( narayanan and harabagiu 2004 ), information extraction ( #AUTHOR_TAG ), and machine translation ( boas 2002 ).', 'with the efforts of many researchers ( carreras and marquez 2004, moschitti 2004, pradhan et al 2005, zhang et al 2007, different machine learning methods and linguistics resources are applied in this task, which has made srl task progress fast']",0
"['prove that our method is effective, we also make a comparison between the performances of our system and #AUTHOR_TAG, Xue ( 2008 ).', 'Xue (2008) is the best srl system until now and it has the same data setting with ours.', 'the results are presented in table 6 we have to point out that all the three systems are based on gold standard parsing.', 'from the table 6, we can find that our system is better than both of the related systems.', 'our system has outperformed Xue (2008) with a relative error reduction rate of 9. 8 %']","['prove that our method is effective, we also make a comparison between the performances of our system and #AUTHOR_TAG, Xue ( 2008 ).', 'Xue (2008) is the best srl system until now and it has the same data setting with ours.', 'the results are presented in table 6 we have to point out that all the three systems are based on gold standard parsing.', 'from the table 6, we can find that our system is better than both of the related systems.', 'our system has outperformed Xue (2008) with a relative error reduction rate of 9. 8 %']","['prove that our method is effective, we also make a comparison between the performances of our system and #AUTHOR_TAG, Xue ( 2008 ).', 'Xue (2008) is the best srl system until now and it has the same data setting with ours.', 'the results are presented in table 6 we have to point out that all the three systems are based on gold standard parsing.', 'from the table 6, we can find that our system is better than both of the related systems.', 'our system has outperformed Xue (2008) with a relative error reduction rate of 9. 8 %']","['prove that our method is effective, we also make a comparison between the performances of our system and #AUTHOR_TAG, Xue ( 2008 ).', 'Xue (2008) is the best srl system until now and it has the same data setting with ours.', 'the results are presented in table 6 we have to point out that all the three systems are based on gold standard parsing.', 'from the table 6, we can find that our system is better than both of the related systems.', 'our system has outperformed Xue (2008) with a relative error reduction rate of 9. 8 %']",1
"['.', 'since the arguments can provide useful semantic information, the srl is crucial to many natural language processing tasks, such as question and answering ( #AUTHOR_TAG ), information extraction ( sur']","['role labeling ( srl ) was first defined in Gildea and Jurafsky (2002).', 'the purpose of srl task is to identify and classify the semantic roles of each predicate in a sentence.', 'the semantic roles are marked and each of them is assigned a tag which indicates the type of the semantic relation with the related predicate.', 'typical tags include agent, patient, source, etc. and some adjuncts such as temporal, manner, extent, etc.', 'since the arguments can provide useful semantic information, the srl is crucial to many natural language processing tasks, such as question and answering ( #AUTHOR_TAG ), information extraction ( surdeanu et al. 2003 ), and machine translation ( boas 2002 ).', 'with the efforts of many']","['role labeling ( srl ) was first defined in Gildea and Jurafsky (2002).', 'the purpose of srl task is to identify and classify the semantic roles of each predicate in a sentence.', 'the semantic roles are marked and each of them is assigned a tag which indicates the type of the semantic relation with the related predicate.', 'typical tags include agent, patient, source, etc. and some adjuncts such as temporal, manner, extent, etc.', 'since the arguments can provide useful semantic information, the srl is crucial to many natural language processing tasks, such as question and answering ( #AUTHOR_TAG ), information extraction ( sur']","['role labeling ( srl ) was first defined in Gildea and Jurafsky (2002).', 'the purpose of srl task is to identify and classify the semantic roles of each predicate in a sentence.', 'the semantic roles are marked and each of them is assigned a tag which indicates the type of the semantic relation with the related predicate.', 'typical tags include agent, patient, source, etc. and some adjuncts such as temporal, manner, extent, etc.', 'since the arguments can provide useful semantic information, the srl is crucial to many natural language processing tasks, such as question and answering ( #AUTHOR_TAG ), information extraction ( surdeanu et al. 2003 ), and machine translation ( boas 2002 ).', 'with the efforts of many researchers ( carreras and marquez 2004, moschitti 2004, pradhan et al 2005, zhang et al 2007, different machine learning methods and linguistics resources are applied in this task, which has made srl task progress fast']",0
['words are extracted from the semantic knowledge - base of contemporary chinese ( #AUTHOR_TAG )'],['words are extracted from the semantic knowledge - base of contemporary chinese ( #AUTHOR_TAG )'],"['##cat ( semantic category ) of predicate, sem - cat of first word, semcat of head word, semcat of last word, semcat of predicate + semcat of first word, semcat of predicate + semcat of last word, predicate + semcat of head word, semcat of predicate + head word.', 'the semantic categories of verbs and other words are extracted from the semantic knowledge - base of contemporary chinese ( #AUTHOR_TAG )']","['##cat ( semantic category ) of predicate, sem - cat of first word, semcat of head word, semcat of last word, semcat of predicate + semcat of first word, semcat of predicate + semcat of last word, predicate + semcat of head word, semcat of predicate + head word.', 'the semantic categories of verbs and other words are extracted from the semantic knowledge - base of contemporary chinese ( #AUTHOR_TAG )']",5
"['made some preliminary attempt on the idea of hierarchical semantic role labeling.', 'however, without considerations on how to utilize the characteristics of linguistically similar semantic roles, the purpose of the hierarchical system is to simplify the classification process to make it less time consuming.', 'so the hierarchical system in their paper performs a little worse than the traditional srl systems, although it is more efficient.', '#AUTHOR_TAG did very encouraging work on the feature']","['made some preliminary attempt on the idea of hierarchical semantic role labeling.', 'however, without considerations on how to utilize the characteristics of linguistically similar semantic roles, the purpose of the hierarchical system is to simplify the classification process to make it less time consuming.', 'so the hierarchical system in their paper performs a little worse than the traditional srl systems, although it is more efficient.', '#AUTHOR_TAG did very encouraging work on the feature']","['the predicate - argument structures of ten specified verbs to a small collection of chinese sentences, and used support vector machines to identify and classify the arguments.', 'this paper made the first attempt on chinese srl and produced promising results.', 'after the propbank ( xue and palmer 2003 ) was built, and Xue (2008) have produced more complete and systematic research on chinese srl.', 'Moschitti et al. (2005) has made some preliminary attempt on the idea of hierarchical semantic role labeling.', 'however, without considerations on how to utilize the characteristics of linguistically similar semantic roles, the purpose of the hierarchical system is to simplify the classification process to make it less time consuming.', 'so the hierarchical system in their paper performs a little worse than the traditional srl systems, although it is more efficient.', '#AUTHOR_TAG did very encouraging work on the feature calibration of semantic role labeling.', 'they found out that different features suited for different sub tasks of srl, i. e. semantic role identification and classification.', 'for semantic analysis, developing features that capture the right kind of information is crucial.', 'experiments on chinese srl ( xue andpalmer 2005, xue 2008 ) reass']","['to the research on english, the research on chinese srl is still in its infancy stage.', 'previous work on chinese srl mainly focused on how to transplant the machine learning methods which has been successful with english, such as Sun and Jurafsky (2004), and Xue (2008).', 'Sun and Jurafsky (2004) did the preliminary work on chinese srl without any large semantically annotated corpus of chinese.', 'they just labeled the predicate - argument structures of ten specified verbs to a small collection of chinese sentences, and used support vector machines to identify and classify the arguments.', 'this paper made the first attempt on chinese srl and produced promising results.', 'after the propbank ( xue and palmer 2003 ) was built, and Xue (2008) have produced more complete and systematic research on chinese srl.', 'Moschitti et al. (2005) has made some preliminary attempt on the idea of hierarchical semantic role labeling.', 'however, without considerations on how to utilize the characteristics of linguistically similar semantic roles, the purpose of the hierarchical system is to simplify the classification process to make it less time consuming.', 'so the hierarchical system in their paper performs a little worse than the traditional srl systems, although it is more efficient.', '#AUTHOR_TAG did very encouraging work on the feature calibration of semantic role labeling.', 'they found out that different features suited for different sub tasks of srl, i. e. semantic role identification and classification.', 'for semantic analysis, developing features that capture the right kind of information is crucial.', 'experiments on chinese srl ( xue andpalmer 2005, xue 2008 ) reassured these findings']",0
"['collection of chinese sentences, and used support vector machines to identify and classify the arguments.', 'this paper made the first attempt on chinese srl and produced promising results.', 'after the propbank ( #AUTHOR_TAG ) was built, Xue and Palmer ( 2005 ) and Xue ( 2008 ) have']","['collection of chinese sentences, and used support vector machines to identify and classify the arguments.', 'this paper made the first attempt on chinese srl and produced promising results.', 'after the propbank ( #AUTHOR_TAG ) was built, Xue and Palmer ( 2005 ) and Xue ( 2008 ) have']","['the predicate - argument structures of ten specified verbs to a small collection of chinese sentences, and used support vector machines to identify and classify the arguments.', 'this paper made the first attempt on chinese srl and produced promising results.', 'after the propbank ( #AUTHOR_TAG ) was built, Xue and Palmer ( 2005 ) and Xue ( 2008 ) have produced more complete and systematic research on chinese srl.', 'Moschitti et al. (2005) has made some preliminary attempt on the idea of hierarchical semantic role labeling.', 'however, without considerations on how to utilize the characteristics of linguistically similar semantic roles, the purpose of the hierarchical system is to simplify the classification process to make it less time consuming.', 'so the hierarchical system in their paper performs a little worse than the traditional srl systems, although it is more efficient.', 'Xue and Palmer (2004) did very encouraging work on the feature calibration of semantic role labeling.', 'they found out that different features suited for different sub tasks of srl, i. e. semantic role identification and classification.', 'for semantic analysis, developing features that capture the right kind of information is crucial.', 'experiments on chinese srl ( xue andpalmer 2005, xue 2008 ) reass']","['to the research on english, the research on chinese srl is still in its infancy stage.', 'previous work on chinese srl mainly focused on how to transplant the machine learning methods which has been successful with english, such as Sun and Jurafsky (2004), and Xue (2008).', 'Sun and Jurafsky (2004) did the preliminary work on chinese srl without any large semantically annotated corpus of chinese.', 'they just labeled the predicate - argument structures of ten specified verbs to a small collection of chinese sentences, and used support vector machines to identify and classify the arguments.', 'this paper made the first attempt on chinese srl and produced promising results.', 'after the propbank ( #AUTHOR_TAG ) was built, Xue and Palmer ( 2005 ) and Xue ( 2008 ) have produced more complete and systematic research on chinese srl.', 'Moschitti et al. (2005) has made some preliminary attempt on the idea of hierarchical semantic role labeling.', 'however, without considerations on how to utilize the characteristics of linguistically similar semantic roles, the purpose of the hierarchical system is to simplify the classification process to make it less time consuming.', 'so the hierarchical system in their paper performs a little worse than the traditional srl systems, although it is more efficient.', 'Xue and Palmer (2004) did very encouraging work on the feature calibration of semantic role labeling.', 'they found out that different features suited for different sub tasks of srl, i. e. semantic role identification and classification.', 'for semantic analysis, developing features that capture the right kind of information is crucial.', 'experiments on chinese srl ( xue andpalmer 2005, xue 2008 ) reassured these findings']",0
"['of semantic role labeling.', 'they found out that different features suited for different sub tasks of srl, i. e. semantic role identification and classification.', 'for semantic analysis, developing features that capture the right kind of information is crucial.', 'experiments on chinese srl ( #AUTHOR_TAG, xue']","['of semantic role labeling.', 'they found out that different features suited for different sub tasks of srl, i. e. semantic role identification and classification.', 'for semantic analysis, developing features that capture the right kind of information is crucial.', 'experiments on chinese srl ( #AUTHOR_TAG, xue']","['the predicate - argument structures of ten specified verbs to a small collection of chinese sentences, and used support vector machines to identify and classify the arguments.', 'this paper made the first attempt on chinese srl and produced promising results.', 'after the propbank ( xue and palmer 2003 ) was built, and Xue (2008) have produced more complete and systematic research on chinese srl.', 'Moschitti et al. (2005) has made some preliminary attempt on the idea of hierarchical semantic role labeling.', 'however, without considerations on how to utilize the characteristics of linguistically similar semantic roles, the purpose of the hierarchical system is to simplify the classification process to make it less time consuming.', 'so the hierarchical system in their paper performs a little worse than the traditional srl systems, although it is more efficient.', 'Xue and Palmer (2004) did very encouraging work on the feature calibration of semantic role labeling.', 'they found out that different features suited for different sub tasks of srl, i. e. semantic role identification and classification.', 'for semantic analysis, developing features that capture the right kind of information is crucial.', 'experiments on chinese srl ( #AUTHOR_TAG, xue 2008 ) reassured these findings']","['to the research on english, the research on chinese srl is still in its infancy stage.', 'previous work on chinese srl mainly focused on how to transplant the machine learning methods which has been successful with english, such as Sun and Jurafsky (2004), and Xue (2008).', 'Sun and Jurafsky (2004) did the preliminary work on chinese srl without any large semantically annotated corpus of chinese.', 'they just labeled the predicate - argument structures of ten specified verbs to a small collection of chinese sentences, and used support vector machines to identify and classify the arguments.', 'this paper made the first attempt on chinese srl and produced promising results.', 'after the propbank ( xue and palmer 2003 ) was built, and Xue (2008) have produced more complete and systematic research on chinese srl.', 'Moschitti et al. (2005) has made some preliminary attempt on the idea of hierarchical semantic role labeling.', 'however, without considerations on how to utilize the characteristics of linguistically similar semantic roles, the purpose of the hierarchical system is to simplify the classification process to make it less time consuming.', 'so the hierarchical system in their paper performs a little worse than the traditional srl systems, although it is more efficient.', 'Xue and Palmer (2004) did very encouraging work on the feature calibration of semantic role labeling.', 'they found out that different features suited for different sub tasks of srl, i. e. semantic role identification and classification.', 'for semantic analysis, developing features that capture the right kind of information is crucial.', 'experiments on chinese srl ( #AUTHOR_TAG, xue 2008 ) reassured these findings']",4
['has built a semantic role classifier'],['has built a semantic role classifier'],"['has built a semantic role classifier exploiting the interdependence of semantic roles.', 'it has turned the single point classification problem']","['has built a semantic role classifier exploiting the interdependence of semantic roles.', 'it has turned the single point classification problem into the sequence labeling problem with the introduction of semantic context features.', 'se - mantic context features indicates the features ex - tracted from the arguments around the current one.', 'we can use window size to represent the scope of the context.', 'window size [ - m, n ] means that, in the sequence that all the arguments has constructed, the features of previous m and following n argu - ments will be utilized for the classification of cur - rent semantic role.', 'there are two kinds of argu - ment sequences in Jiang et al. (2005), and we only test the linear sequence.', 'take the sentence in fig - ure 1 as an example.', 'the linear sequence of the arguments in this sentence is : _ _ _ _ ( until then ), _ _ _ _ ( the insurance company ), _ ( has ), _ _ _ _ _ ( for the sanxia project ), _ _ _ _ ( in - surance services ).', 'for the argument _ ( has ), if the semantic context window size is [ - 1, 2 ], the seman - tic context features e. g. headword, phrase type and etc. of _ _ _ _ ( the insurance company ), _ _ _ _ _ ( for the sanxia project ) and _ _ _ _ ( insurance services ) will be utilized to serve the classification task of _ ( has )']",5
"['we make discriminations of arguments and adjuncts, the analysis is still coarse - grained.', '#AUTHOR_TAG has made the first attempt working on the single semantic role level to make further improvement.', 'however, the impact of this idea is limited due to that the amount of the research target, arg2, is few in propbank.', 'what if we']","['we make discriminations of arguments and adjuncts, the analysis is still coarse - grained.', '#AUTHOR_TAG has made the first attempt working on the single semantic role level to make further improvement.', 'however, the impact of this idea is limited due to that the amount of the research target, arg2, is few in propbank.', 'what if we']","['we make discriminations of arguments and adjuncts, the analysis is still coarse - grained.', '#AUTHOR_TAG has made the first attempt working on the single semantic role level to make further improvement.', 'however, the impact of this idea is limited due to that the amount of the research target, arg2, is few in propbank.', 'what if']","['we make discriminations of arguments and adjuncts, the analysis is still coarse - grained.', '#AUTHOR_TAG has made the first attempt working on the single semantic role level to make further improvement.', 'however, the impact of this idea is limited due to that the amount of the research target, arg2, is few in propbank.', 'what if we could extend the idea of hierarchical architecture to the single semantic role level?', 'would that help the improvement of src']",1
