token_context,word_context,seg_context,sent_cotext,label
"['-based recommender systems [15] rely on a pre-existing domain knowledge to suggest items more similar to the ones that the user seems to like.', 'They usually generate user models that describe user interests according to a set of features #TAUTHOR_TAG .', '']","['-based recommender systems [15] rely on a pre-existing domain knowledge to suggest items more similar to the ones that the user seems to like.', 'They usually generate user models that describe user interests according to a set of features #TAUTHOR_TAG .', '']","['-based recommender systems [15] rely on a pre-existing domain knowledge to suggest items more similar to the ones that the user seems to like.', 'They usually generate user models that describe user interests according to a set of features #TAUTHOR_TAG .', '']","['-based recommender systems [15] rely on a pre-existing domain knowledge to suggest items more similar to the ones that the user seems to like.', 'They usually generate user models that describe user interests according to a set of features #TAUTHOR_TAG .', '']",5
"['Computer Science Ontology (CSO) [3] is a large-scale and granular ontology of research topics that was created automatically by running the Klink-2 algorithm [1] on the Rexplore dataset #TAUTHOR_TAG .', 'This consists of about 16 million publications, primarily in the field of Computer Science.', 'The Klink-2 algorithm combines semantic technologies, machine learning, and background knowledge from a number of web sources, including DBpedia, calls for papers, and web pages, to identify research topics and their relationships from a given corpus of publications.', 'CSO uses the Klink data model 4 ,']","['Computer Science Ontology (CSO) [3] is a large-scale and granular ontology of research topics that was created automatically by running the Klink-2 algorithm [1] on the Rexplore dataset #TAUTHOR_TAG .', 'This consists of about 16 million publications, primarily in the field of Computer Science.', 'The Klink-2 algorithm combines semantic technologies, machine learning, and background knowledge from a number of web sources, including DBpedia, calls for papers, and web pages, to identify research topics and their relationships from a given corpus of publications.', 'CSO uses the Klink data model 4 ,']","['Computer Science Ontology (CSO) [3] is a large-scale and granular ontology of research topics that was created automatically by running the Klink-2 algorithm [1] on the Rexplore dataset #TAUTHOR_TAG .', 'This consists of about 16 million publications, primarily in the field of Computer Science.', 'The Klink-2 algorithm combines semantic technologies, machine learning, and background knowledge from a number of web sources, including DBpedia, calls for papers, and web pages, to identify research topics and their relationships from a given corpus of publications.', 'CSO uses the Klink data model 4 ,']","['Computer Science Ontology (CSO) [3] is a large-scale and granular ontology of research topics that was created automatically by running the Klink-2 algorithm [1] on the Rexplore dataset #TAUTHOR_TAG .', 'This consists of about 16 million publications, primarily in the field of Computer Science.', 'The Klink-2 algorithm combines semantic technologies, machine learning, and background knowledge from a number of web sources, including DBpedia, calls for papers, and web pages, to identify research topics and their relationships from a given corpus of publications.', '']",0
"['so, we characterized all SN publications according to their associated research topics by exploiting the Computer Science Ontology (CSO), a large-scale automatically generated taxonomy of research areas #TAUTHOR_TAG .', '']","['so, we characterized all SN publications according to their associated research topics by exploiting the Computer Science Ontology (CSO), a large-scale automatically generated taxonomy of research areas #TAUTHOR_TAG .', '']","['to do so, we characterized all SN publications according to their associated research topics by exploiting the Computer Science Ontology (CSO), a large-scale automatically generated taxonomy of research areas #TAUTHOR_TAG .', '']","['', 'In order to do so, we characterized all SN publications according to their associated research topics by exploiting the Computer Science Ontology (CSO), a large-scale automatically generated taxonomy of research areas #TAUTHOR_TAG .', '']",0
"['ender, Smart Topic Miner [5], the Technology-Topic Framework #TAUTHOR_TAG , a system that forecasts the propagation of technologies across research communities, and the']","['Recommender, Smart Topic Miner [5], the Technology-Topic Framework #TAUTHOR_TAG , a system that forecasts the propagation of technologies across research communities, and the']","['', 'This API supports a number of applications, including Smart Book Recommender, Smart Topic Miner [5], the Technology-Topic Framework #TAUTHOR_TAG , a system that forecasts the propagation of technologies across research communities, and the Pragmatic Ontology Evolution Framework [7], an approach']",[' #TAUTHOR_TAG'],0
"['It represents journals, books, and conferences according to the metadata of their chapters/articles and uses the Smart Topic API #TAUTHOR_TAG to characterize each of them with a semantically enhanced topic vector']","['It represents journals, books, and conferences according to the metadata of their chapters/articles and uses the Smart Topic API #TAUTHOR_TAG to characterize each of them with a semantically enhanced topic vector']","['It represents journals, books, and conferences according to the metadata of their chapters/articles and uses the Smart Topic API #TAUTHOR_TAG to characterize each of them with a semantically enhanced topic vector']","['1) It represents journals, books, and conferences according to the metadata of their chapters/articles and uses the Smart Topic API #TAUTHOR_TAG to characterize each of them with a semantically enhanced topic vector']",5
"['', 'Finally, Cantador et al.', 'Finally, #TAUTHOR_TAG propose a hybrid recommendation model in which user preferences are described in terms of semantic concepts defined in domain ontologies.', 'Similar to all these systems SBR builds a semantic representation of the items and exploits the ontology for inferring additional concepts.', '']","['', 'Finally, Cantador et al.', 'Finally, #TAUTHOR_TAG propose a hybrid recommendation model in which user preferences are described in terms of semantic concepts defined in domain ontologies.', 'Similar to all these systems SBR builds a semantic representation of the items and exploits the ontology for inferring additional concepts.', '']","['', 'Finally, Cantador et al.', 'Finally, #TAUTHOR_TAG propose a hybrid recommendation model in which user preferences are described in terms of semantic concepts defined in domain ontologies.', 'Similar to all these systems SBR builds a semantic representation of the items and exploits the ontology for inferring additional concepts.', '']","['', 'Finally, Cantador et al.', 'Finally, #TAUTHOR_TAG propose a hybrid recommendation model in which user preferences are described in terms of semantic concepts defined in domain ontologies.', 'Similar to all these systems SBR builds a semantic representation of the items and exploits the ontology for inferring additional concepts.', '']",1
"['ukou et al [21] present an agent-based system that learns the preferences of experienced researchers and provides specific suggestions to support search for scientific publications.', 'Colombo-Mendoza et al #TAUTHOR_TAG propose RecomMetz, a context-aware mobile recommender system based on Semantic Web technologies.', 'This system introduced some unique features, such as the composite structure of the items and the integration of temporal and crowd factors into a contextaware model.', '']","['', 'Birukou et al [21] present an agent-based system that learns the preferences of experienced researchers and provides specific suggestions to support search for scientific publications.', 'Colombo-Mendoza et al #TAUTHOR_TAG propose RecomMetz, a context-aware mobile recommender system based on Semantic Web technologies.', 'This system introduced some unique features, such as the composite structure of the items and the integration of temporal and crowd factors into a contextaware model.', '']","['ukou et al [21] present an agent-based system that learns the preferences of experienced researchers and provides specific suggestions to support search for scientific publications.', 'Colombo-Mendoza et al #TAUTHOR_TAG propose RecomMetz, a context-aware mobile recommender system based on Semantic Web technologies.', 'This system introduced some unique features, such as the composite structure of the items and the integration of temporal and crowd factors into a contextaware model.', '']","['', 'Birukou et al [21] present an agent-based system that learns the preferences of experienced researchers and provides specific suggestions to support search for scientific publications.', 'Colombo-Mendoza et al #TAUTHOR_TAG propose RecomMetz, a context-aware mobile recommender system based on Semantic Web technologies.', 'This system introduced some unique features, such as the composite structure of the items and the integration of temporal and crowd factors into a contextaware model.', '']",1
"['', 'Razmerita et al.', ' #TAUTHOR_TAG describe OntobUM, an ontology-based recommender that integrates three ontologies:', 'i) the user ontology, which structures the characteristics of users and their relationships,', 'ii) the domain ontology, which defines the domain concepts and their relationships, and', 'iii) the log ontology, which defines the semantics of the user interactions with the system.', '']","['', 'Razmerita et al.', ' #TAUTHOR_TAG describe OntobUM, an ontology-based recommender that integrates three ontologies:', 'i) the user ontology, which structures the characteristics of users and their relationships,', 'ii) the domain ontology, which defines the domain concepts and their relationships, and', 'iii) the log ontology, which defines the semantics of the user interactions with the system.', '']","['', 'Razmerita et al.', ' #TAUTHOR_TAG describe OntobUM, an ontology-based recommender that integrates three ontologies:', 'i) the user ontology, which structures the characteristics of users and their relationships,', 'ii) the domain ontology, which defines the domain concepts and their relationships, and', 'iii) the log ontology, which defines the semantics of the user interactions with the system.', '']","['', 'Razmerita et al.', ' #TAUTHOR_TAG describe OntobUM, an ontology-based recommender that integrates three ontologies:', 'i) the user ontology, which structures the characteristics of users and their relationships,', 'ii) the domain ontology, which defines the domain concepts and their relationships, and', 'iii) the log ontology, which defines the semantics of the user interactions with the system.', '']",1
"['', 'Thiagarajan et al.', 'Thiagarajan et al. #TAUTHOR_TAG use a different strategy by representing user profiles as bags-ofwords and weighing each term according to the user interests derived from a domain ontology.', '']","['', 'Thiagarajan et al.', 'Thiagarajan et al. #TAUTHOR_TAG use a different strategy by representing user profiles as bags-ofwords and weighing each term according to the user interests derived from a domain ontology.', '']","['', 'Thiagarajan et al.', 'Thiagarajan et al. #TAUTHOR_TAG use a different strategy by representing user profiles as bags-ofwords and weighing each term according to the user interests derived from a domain ontology.', '']","['', 'Thiagarajan et al.', 'Thiagarajan et al. #TAUTHOR_TAG use a different strategy by representing user profiles as bags-ofwords and weighing each term according to the user interests derived from a domain ontology.', '']",5
"['the ability to share and reuse system knowledge, and iii) the alleviation of the cold-start and data sparsity problems [16, #TAUTHOR_TAG ']","['the ability to share and reuse system knowledge, and iii) the alleviation of the cold-start and data sparsity problems [16, #TAUTHOR_TAG ']","['the ability to share and reuse system knowledge, and iii) the alleviation of the cold-start and data sparsity problems [16, #TAUTHOR_TAG ']","['', 'The main advantages of these solutions are', 'i) the ability to exploit the domain knowledge for improving the user modelling process,', 'ii) the ability to share and reuse system knowledge, and iii) the alleviation of the cold-start and data sparsity problems [16, #TAUTHOR_TAG ']",0
