CC,label
systems [15] rely on a pre-existing domain knowledge to suggest items more similar to the ones that the user seems to like. They usually generate user models that describe user interests according to a set of features #AUTHOR_TAG .,5
"Ontology (CSO) [3] is a large-scale and granular ontology of research topics that was created automatically by running the Klink-2 algorithm [1] on the Rexplore dataset #AUTHOR_TAG . This consists of about 16 million publications, primarily in the field of Computer Science. The Klink-2 algorithm combines semantic technologies, machine learning, and background knowledge from a number of web sources, including DBpedia, calls for papers, and web pages, to identify research topics and their relationships from a given corpus of publications. C",0
"In order to do so, we characterized all SN publications according to their associated research topics by exploiting the Computer Science Ontology (CSO), a large-scale automatically generated taxonomy of research areas #AUTHOR_TAG .",0
"[2,5], an online service for automatically tagging publications with a set of relevant topics from CSO. This API supports a number of applications, including Smart Book Recommender, Smart Topic Miner [5], the Technology-Topic Framework #AUTHOR_TAG , a system that forecasts the propagation of technologies across research communities, and the Pragmatic Ontology Evolution Framework [7], an approach to",0
"<s> 1) It represents journals, books, and conferences according to the metadata of their chapters/articles and uses the Smart Topic API #AUTHOR_TAG   to characterize each of them with a semantically enhanced topic vector.</s>",5
"the integration of temporal and crowd factors into a contextaware model. Finally, Cantador et al. Finally, #AUTHOR_TAG  propose a hybrid recommendation model in which user preferences are described in terms of semantic concepts defined in domain ontologies. Similar to all these systems SBR builds a semantic representation of the items and exploits the ontology for inferring additional concepts. However, rather than creating a representation of a single user, it characterizes the overall interests of the research community associated with the proceedings of a conference series.",1
"suggestions to support search for scientific publications. Colombo-Mendoza et al #AUTHOR_TAG  propose RecomMetz, a context-aware mobile recommender system based on Semantic Web technologies. This system introduced some unique features, such as the composite structure of the items and the integration of temporal and crowd factors into a contextaware model. Finally",1
"the user interests derived from a domain ontology. Razmerita et al. #AUTHOR_TAG  describe OntobUM, an ontology-based recommender that integrates three ontologies: i) the user ontology, which structures the characteristics of users and their relationships, ii) the domain ontology, which defines the domain concepts and their relationships, and iii) the log ontology, which defines the semantics of the user interactions with the system.",1
. Thiagarajan et al. Thiagarajan et al. #AUTHOR_TAG  use a different strategy by representing user profiles as bags-ofwords and weighing each term according to the user interests derived from a domain ontology. Razmerita et al. [,5
"ii) the alleviation of the cold-start and data sparsity problems [16,#AUTHOR_TAG ].</s>",0
"[16]. With the advent of the Semantic Web, several recommender systems started to adopt ontologies for representing both user interests and items #AUTHOR_TAG . Often these systems use an ontology so that, given user interest in an item represented in the ontology, they can then propagate such interest to relevant items and concepts. For example, given a positive feedback on ""beagles"", a system may infer (correctly or not) that a user is",0
"<s> Recommender systems are software tools and methods which provide suggestions for items to users, according to their preferences and needs [13]. They are typically classified as collaborative filtering approaches, content-based filtering approaches and hybrid approaches #AUTHOR_TAG .</s>",0
Content-based recommender systems #AUTHOR_TAG  rely on a pre-existing domain knowledge to suggest items more similar to the ones that the user seems to like. They usually generate user models that describe user interests according to a set of features [16].,0
"<s> Recommender systems are software tools and methods which provide suggestions for items to users, according to their preferences and needs #AUTHOR_TAG . They are typically classified as collaborative filtering approaches, content-based filtering approaches and hybrid approaches [14].</s>",0
"conference proceedings published by other editors. We are thus exploring the option of using datasets such as CrossRef 12 , Dimensions 13 , OpenCitations [11], and Core #AUTHOR_TAG .</s>",3
"conference proceedings published by other editors. We are thus exploring the option of using datasets such as CrossRef 12 , Dimensions 13 , OpenCitations #AUTHOR_TAG , and Core [12].",3
"We assess the similarity of two semantic vectors using the cosine similarity #AUTHOR_TAG , since this measure relies on the orientation but not the magnitude of the topic weights in the vector space, allowing us to compare editorial products associated with a different number of chapters. The similarity computation is carried out offline.",0
We use the persistent identifiers for conferences and conference series introduced in the Linked Open Data Conference Portal [8] and recently migrated to SciGraph #AUTHOR_TAG .,0
We use the persistent identifiers for conferences and conference series introduced in the Linked Open Data Conference Portal #AUTHOR_TAG  and recently migrated to SciGraph [9].,0
"ender, Smart Topic Miner [5], the Technology-Topic Framework [6], a system that forecasts the propagation of technologies across research communities, and the Pragmatic Ontology Evolution Framework #AUTHOR_TAG , an approach to ontology evolution that is able to select new concepts on the basis of their contribution to specific computational tasks.</s>",0
