CC,label
"suggest items more similar to the ones that the user seems to like. They usually generate user models that describe user interests according to a set of features #AUTHOR_TAG . With the advent of the Semantic Web, several recommender systems started to adopt ontologies for representing both user interests and items [17",5
"a large-scale and granular ontology of research topics that was created automatically by running the Klink-2 algorithm [1] on the Rexplore dataset #AUTHOR_TAG . This consists of about 16 million publications, primarily in the field of Computer Science. The Klink-2 algorithm comb",0
"do so, we characterized all SN publications according to their associated research topics by exploiting the Computer Science Ontology (CSO), a large-scale automatically generated taxonomy of research areas #AUTHOR_TAG . Furthermore, SBR allows users to investigate why a certain publication was suggested by means of an interactive graph view that compares the topics of the suggested publication with",0
"from CSO. This API supports a number of applications, including Smart Book Recommender, Smart Topic Miner [5], the Technology-Topic Framework #AUTHOR_TAG , a system that forecasts the propagation of technologies across research communities, and the Pragmatic Ontology Evolution Framework [7], an approach",0
"<s> 1) It represents journals, books, and conferences according to the metadata of their chapters/articles and uses the Smart Topic API #AUTHOR_TAG   to characterize each of them with a semantically enhanced topic vector.</s>",5
"such as the composite structure of the items and the integration of temporal and crowd factors into a contextaware model. Finally, Cantador et al. Finally, #AUTHOR_TAG  propose a hybrid recommendation model in which user preferences are described in terms of semantic concepts defined in domain ontologies. Similar to all these systems SBR builds a sem",1
"system that learns the preferences of experienced researchers and provides specific suggestions to support search for scientific publications. Colombo-Mendoza et al #AUTHOR_TAG  propose RecomMetz, a context-aware mobile recommender system based on Semantic Web technologies",1
"a different strategy by representing user profiles as bags-ofwords and weighing each term according to the user interests derived from a domain ontology. Razmerita et al. #AUTHOR_TAG  describe OntobUM, an ontology-based recommender that integrates three ontologies: i) the user ontology",1
process and hence the usefulness of the recommendations. Thiagarajan et al. Thiagarajan et al. #AUTHOR_TAG  use a different strategy by representing user profiles as bags-ofwords and weighing each term according to the user interests derived from a domain ontology,5
"and reuse system knowledge, and iii) the alleviation of the cold-start and data sparsity problems [16,#AUTHOR_TAG ].</s>",0
"a set of features [16]. With the advent of the Semantic Web, several recommender systems started to adopt ontologies for representing both user interests and items #AUTHOR_TAG . Often these systems use an ontology so that, given user interest in an item represented in the ontology, they can then propagate such interest",0
"suggestions for items to users, according to their preferences and needs [13]. They are typically classified as collaborative filtering approaches, content-based filtering approaches and hybrid approaches #AUTHOR_TAG .</s>",0
<s> Content-based recommender systems #AUTHOR_TAG  rely on a pre-existing domain knowledge to suggest items more similar to the ones that the user seems to like. They usually generate user,0
"<s> Recommender systems are software tools and methods which provide suggestions for items to users, according to their preferences and needs #AUTHOR_TAG . They are typically classified as collaborative filtering approaches, content-based filtering approaches and hybrid approaches [14].</s>",0
"conference proceedings published by other editors. We are thus exploring the option of using datasets such as CrossRef 12 , Dimensions 13 , OpenCitations [11], and Core #AUTHOR_TAG .</s>",3
"conference proceedings published by other editors. We are thus exploring the option of using datasets such as CrossRef 12 , Dimensions 13 , OpenCitations #AUTHOR_TAG , and Core [12].</s>",3
"<s> We assess the similarity of two semantic vectors using the cosine similarity #AUTHOR_TAG , since this measure relies on the orientation but not the magnitude of the topic weights in the vector space, allowing us to compare editorial products associated with a different number of chapters. The similarity computation is carried out offline.</s>",0
"from the last five years. We use the persistent identifiers for conferences and conference series introduced in the Linked Open Data Conference Portal [8] and recently migrated to SciGraph #AUTHOR_TAG . Such identifiers make sure that the conference series links all relevant conferences, regardless of name changes (e.g., after a few years the ""European",0
"unique conference identifiers and considering only articles from the last five years. We use the persistent identifiers for conferences and conference series introduced in the Linked Open Data Conference Portal #AUTHOR_TAG  and recently migrated to SciGraph [9]. Such identifiers make sure that the conference series links all relevant conferences, regardless of name changes (e.",0
"5], the Technology-Topic Framework [6], a system that forecasts the propagation of technologies across research communities, and the Pragmatic Ontology Evolution Framework #AUTHOR_TAG , an approach to ontology evolution that is able to select new concepts on the basis of their contribution to specific computational tasks",0
cards to design banking technologies for and with people with limited familiarity with the topic. Chow et al. (2016)  applied cards to create innovative ways to teach mathematics; #AUTHOR_TAG  and Arrasvuori (2013)  to support the design for playfulness; both Golembewski and Selby (2010)  and Roubira (2008)  used cards as an inspiration,0
"<s> Everyday sexism rests on the concept that sexism is either faced or reproduced on a daily basis but is rarely noticed (Barreto et al., 2009;#AUTHOR_TAG and Swim, 2011) . Identifying everyday sexism and its different forms, empathising with other people's experiences, and reflecting on them are seen as possible ways to contribute to gender equality (Becker and Swim, 2011;Zawadzki et al., 2013) .",5
"should ""capture a wide range of situations and personalities"" (p.91) to inspire designers with concepts that are familiar or new to them. For supporting the design of cards, #AUTHOR_TAG  and Greenbaum (2012)  proposed some participatory design principles for transcribing diversified experiences and knowledge to the cards.</s>",4
"on the category of everyday sexism to people not necessary aware of it', was difficult and that they were not satisfied with their results. Following the process of reflection presented by #AUTHOR_TAG  (1996), in the new version the first word of 4 questions were added as a visual prompt",0
"category of everyday sexism and select the 3 most representative ones in groups. The lived experiences were extracted from a website called everydaysexism.com where people shared their experiences on everyday sexism (#AUTHOR_TAG  et al., 2017). Reflective questions aimed at triggering reflection by future card users who would not",0
"compared PLEX Cards, which contain a definition and an informative illustration; and DIXIT Cards, which represent abstract illustrations, and found similar results in terms of numbers of ideas generated (#AUTHOR_TAG  et al., 2014). However, both Chow et al. (2016)  and Deng et al. (2014)  found different results in favour of illustrations representing straight-forward and informative concepts.</s>",1
"or reproduced on a daily basis but is rarely noticed (Barreto et al., 2009;Becker and Swim, 2011) . Identifying everyday sexism and its different forms, empathising with other people's experiences, and reflecting on them are seen as possible ways to contribute to gender equality (Becker and Swim, 2011;#AUTHOR_TAG  et al., 2013). More particularly, using everyday experiences to reflect on them is an important stepping stone in the history of feminism (Freedman, 2014;Sarachild, 1968) .</s>",0
"technical, conceptual and educational skills, still have to be defined (Carvalho et al., 2015; DeSmet et al., 2016) . Most of the participatory models to design educational games are founded on educational theories and game design (see for example: Amory, 2007; #AUTHOR_TAG  et al., 2015). Some more recent models, though, have also included domain experts to define the learning content of the educational game (De Jans et al., 2017) . In scenarios",4
"generate more effective educational outcomes. Yet, it represents a challenge as best practices to co-design such games, which require technical, conceptual and educational skills, still have to be defined (Carvalho et al., 2015;#AUTHOR_TAG  et al., 2016). Most of the participatory models to design educational games are founded on educational theories and game design (see for example: Amory, 2007; Arnab et al., 2015) . Some more recent",0
"are founded on educational theories and game design (see for example: Amory, 2007; Arnab et al., 2015) . Some more recent models, though, have also included domain experts to define the learning content of the educational game (#AUTHOR_TAG  et al., 2017). In scenarios where the co-designers are not equally experienced with the educational game domain or with the design process, tools",4
"generate more effective educational outcomes. Yet, it represents a challenge as best practices to co-design such games, which require technical, conceptual and educational skills, still have to be defined ( #AUTHOR_TAG  et al., 2015;DeSmet et al., 2016) . Most of the participatory models to design educational games are founded on educational theories and game design (see for example: Amory, 2007; Arnab et al., 2015) . Some more recent",1
"<s> Everyday sexism rests on the concept that sexism is either faced or reproduced on a daily basis but is rarely noticed (#AUTHOR_TAG  et al., 2009;Becker and Swim, 2011) . Identifying everyday sexism and its different forms, empathising with other people's experiences, and reflecting on them are seen as possible ways",4
"that our study reveals some of the strongest correlations, higher than previously shown. In a related study, Mryglod et al. #AUTHOR_TAG  used departmental h-index aggregation to predict REF rankings. Their work was completed before December 2014 when",0
"just 3% of the total research budget. Furthermore, the PRFS in Norway and Australia are both used for research evaluation but are not used for funding distribution #AUTHOR_TAG . Peer-review based PRFS are hugely time-consuming and costly to conduct. In this",0
"Assessment and Evaluation (RAE) exercise conducted in 2008, and departmental h-index. Mingers #AUTHOR_TAG  recently completed an investigation that collected total citation counts from Google Scholar (GS) for the top 50 academics ",1
other studies have specifically investigated the correlation between the results of different nations' peer review focused Performance-based Research Funding Systems and bibliometric indicators. Anderson #AUTHOR_TAG  finds only weak to moderate correlation with results from the New Zealand PRFS and a range of traditional journal rankings. The highest correlation,0
"due to the much broader scope of research considered by PRFS processes and the additional quality-related information available to panels. Contrary to Anderson, Smith #AUTHOR_TAG  used citations from Google Scholar (GS) and correlated these against the results from the New Zealand PRFS in 2008. He found",0
the institutes as approximately �1.6 billion in QR funding from central government is distributed annually entirely on the basis of the REF results #AUTHOR_TAG .</s>,0
evidence that timescale played a part in the strength of the correlations they found. An ad hoc study by Bishop #AUTHOR_TAG  also found a moderate to strong correlation between departmental research funding based on the results of the UK's Research Assessment and Evaluation,1
"taken almost two months to gather the required data which was not practical as this was more than 10 times slower than using MAG. Additionally, studies by #AUTHOR_TAG  and [12] have recently confirmed how comprehensive the MAG citation data are. We could not utilise Google Scholar as",0
"<s> It has been shown in [4], #AUTHOR_TAG  and that many bibliometric indicators show little correlation with peer review judgments at the article level. This study, and those by [7], [2",0
"metrics should be used as an additional component in research evaluation, with peer review remaining as the central pillar. Yet, peer review has been shown by #AUTHOR_TAG , [17] and [18] amongst others to exhibit many forms of bias including institutional bias, gender / age related bias and bias against interdis",0
"used as an additional component in research evaluation, with peer review remaining as the central pillar. Yet, peer review has been shown by [16], #AUTHOR_TAG  and [18] amongst others to exhibit many forms of bias including institutional bias, gender / age related bias and bias against interdis",0
"evaluation, with peer review remaining as the central pillar. Yet, peer review has been shown by [16], [17] and #AUTHOR_TAG  amongst others to exhibit many forms of bias including institutional bias, gender / age related bias and bias against interdisciplinary research.",0
"related bias and bias against interdisciplinary research. In an examination of one of the most critical forms of bias, that of publication bias, Emerson #AUTHOR_TAG  noted that reviewers were much more likely to recommend papers demonstrating positive results over those that demonstrated null or negative results.",1
"8 papers), Clinical Medicine (765 papers). The burden placed on the expert reviewers during the REF process was onerous in the extreme. Coles #AUTHOR_TAG  calculated a very similar figure of 2 papers per day, based on an estimate before the data we now have was",1
"gather the required data which was not practical as this was more than 10 times slower than using MAG. Additionally, studies by [11] and #AUTHOR_TAG  have recently confirmed how comprehensive the MAG citation data are. We could not utilise Google Scholar as it does not offer an API and prohib",0
"<s> The NACP was formally recognized by the United States in 2002 under the mantle of the nation's overall climate change management strategy (#AUTHOR_TAG , 2002). The first implementation plan for the NACP put forward a research agenda that was centered on quant",0
"a net source of CO2 to the atmosphere, due to fossil-fuel emissions and that there are globally important carbon sinks whose future are highly uncertain (#AUTHOR_TAG  et al., 2007). Understanding how humans both experience and influence the carbon cycle and climate change",0
"are highly uncertain (King et al., 2007) . Understanding how humans both experience and influence the carbon cycle and climate change is critical to the interests of decision makers (Bernabo, 1995;#AUTHOR_TAG and Ingram, 2009) , such as those who confer support upon the member agencies of the NACP through funding and other resources",0
"<s> Many studies have used the relationships between authors of a document to study broad domains such as physics (#AUTHOR_TAG , 2001a) and mathematics (Barab��si et al., 2002). More recently, studies have also",5
", then the clustering coefficient of that neighborhood will be 1; if none of the other nodes in the neighborhood are connected to each other then the clustering coefficient will be zero (#AUTHOR_TAG  et al., 2008). In other words, the clustering coefficient of a node that has at least one other node",5
". For example, modularity is the fraction of the connections within given groups minus the expected such fraction if connections were distributed at random (#AUTHOR_TAG , 2006). The modularity score given to the networks can be interpreted as describing how well a network, in our case the NAC",5
"narrower sampling approaches, such as only including data from a specific journal (Martin et al., 2013)  or based on attendance records of participation for the active members of a community of business (#AUTHOR_TAG  et al., 2008). Here we transform both our datasets into co-authorship network to represent interpersonal relationships present in the NACP. People are generally expected",5
"isolated groups may converge into a single mass, which encompasses the majority of nodes, and in which everyone is potentially connected to everyone else by some path (#AUTHOR_TAG , 2001b).</s>",5
"does not have a simple cause-andeffect relationship with improved societal outcomes, some research has led to reduced exposure to extreme events, improved forest management, and effective policies to ensure agricultural sustainability (#AUTHOR_TAG  et al., 2014). Rather, science is one among many complex factors that influence improved societal outcomes (Pielke Jr et al., 2010) . It",0
". The process of connecting science and decision makers must be undertaken. It is not clear from our analysis that such work is being done yet in the NACP (Dilling and Lemos, 2011;#AUTHOR_TAG  et al., 2002). Previous research has shown that just because research is policy relevant, does not mean that",0
"of carbon), and the atmosphere (Falkowski et al., 2000) . These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the consequences of climate change to agriculture and food systems (Berthelot et al., 2002;Bradbear and Friel, 2013;Dempewolf et al., 2014;#AUTHOR_TAG  et al., 2012). Carbon cycle science is relevant to a great many aspects of life as we know it: the condition of our environment",0
"2014). Understanding how climate change may evolve over the coming decades requires significant investment in research about carbon and how it cycles, through both living and nonliving states, (#AUTHOR_TAG , 1996). Scientists frequently study these biogeochemical cycles in the context of subsystems such as the terrestrial",0
"ate collaboration in a community of scientists. For example, one study explored the introduction of scientists who were previously unacquainted and from different research backgrounds using brief meetings during a conference (#AUTHOR_TAG  et al., 2014). According to the study, many scientist reported positive experiences and potential new collaborations as a result of participation. The NAC",3
"database and the bibliographic data, and present network graphs resulting from the analysis. Network analysis is a research approach that prioritizes relationships between social units as opposed to focusing on attributes of the individual units themselves (#AUTHOR_TAG and Faust, 1994) . Here we report on co-authorship networks that describe relationships between people rather than ideas. A document ""is co-authored if",5
"co-authored if it has more than one author address, suggesting that the authors come from various institutions, departments, or other kinds of units"" (#AUTHOR_TAG and Persson, 1996) .</s>",5
"the role of cross-institutional collaboration in knowledge creation. For example, previous studies have found that cross-institutional collaboration supports the diffusion of innovations and new ideas within a field (#AUTHOR_TAG and Darby, 1996) . Institutionally co-authored papers have also been found to be more highly cited than papers authored within a single institution",5
"of carbon), and the atmosphere (Falkowski et al., 2000) . These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the consequences of climate change to agriculture and food systems (Berthelot et al., 2002;Bradbear and Friel, 2013;#AUTHOR_TAG  et al., 2014;Shindell et al., 2012) . Carbon cycle science is relevant to a great many aspects of life as we",0
"of carbon), and the atmosphere (Falkowski et al., 2000) . These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the consequences of climate change to agriculture and food systems (#AUTHOR_TAG  et al., 2002;Bradbear and Friel, 2013;Dempewolf et al., 2014;Shindell et al., 2012) . Carbon cycle science is relevant to a great many aspects of life as we",0
"are highly uncertain (King et al., 2007) . Understanding how humans both experience and influence the carbon cycle and climate change is critical to the interests of decision makers (#AUTHOR_TAG , 1995;Feldman and Ingram, 2009) , such as those who confer support upon the member agencies of the NACP through funding and other",0
"such as the terrestrial biosphere (land-based living systems), oceanic systems (both organic and inorganic forms of carbon), and the atmosphere (#AUTHOR_TAG  et al., 2000). These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the",0
"ively, in a purely exploratory context, or deductively when seeking to test known ideas or compare changes in content over time (#AUTHOR_TAG  and Kyng�_s, 2008). Our keyword analysis was conducted on both the NAC",5
". The process of connecting science and decision makers must be undertaken. It is not clear from our analysis that such work is being done yet in the NACP (#AUTHOR_TAG and Lemos, 2011;Lemos et al., 2002) . Previous research has shown that just because research is policy relevant, does not mean that policy makers will use it (Cash et al., 2006) . Science has",0
"within the U.S. Carbon Cycle Science Plan (Michalak et al., 2011) , the Science Implementation Strategy for the North American Carbon Program of 2005 (#AUTHOR_TAG , 2005), and similar supporting documents. The domain of the North American Carbon Program is to study the sources and sink",0
"<s> Many studies have used the relationships between authors of a document to study broad domains such as physics (Newman, 2001 a) and mathematics (#AUTHOR_TAG  et al., 2002). More recently, studies have also employed narrower sampling approaches, such as only including data from a specific journal (Martin et al., 2013)  or based on attendance records of participation for the active members of a community of",5
"bibliographic data is a well-established methodology, for which a variety of approaches, techniques, and automated tools have been developed (#AUTHOR_TAG  et al., 2011). Existing research has demonstrated that analysis of abstracts and titles in bibliographic data",5
"research has demonstrated that analysis of abstracts and titles in bibliographic data can yield insight into the knowledge domains represented within the dataset (#AUTHOR_TAG , 2006). Content analysis may be approached either inductively, in a purely exploratory context",5
"being done yet in the NACP (Dilling and Lemos, 2011;Lemos et al., 2002) . Previous research has shown that just because research is policy relevant, does not mean that policy makers will use it (#AUTHOR_TAG  et al., 2006). Science has to be done in a way that directly engages stakeholders and involves them in setting the",0
"of carbon), and the atmosphere (Falkowski et al., 2000) . These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the consequences of climate change to agriculture and food systems (Berthelot et al., 2002;#AUTHOR_TAG and Friel, 2013;Dempewolf et al., 2014;Shindell et al., 2012) . Carbon cycle science is relevant to a great many aspects of life as we know it: the condition of our environment",0
